team_name,opponent_name,home,goals_for,goals_against,shots_for,shots_against,pp_success,pp_attempt,pk_success,pk_attempt,date,year
Anaheim,San Jose,0,0,2,27,44,0,1,1,1,"Sat, Oct 10",2016
Anaheim,Vancouver,1,1,2,29,25,0,2,2,2,"Mon, Oct 12",2016
Anaheim,Arizona,1,0,4,37,29,0,3,5,6,"Wed, Oct 14",2016
Anaheim,Colorado,1,0,3,35,25,0,5,2,2,"Fri, Oct 16",2016
Anaheim,Minnesota,1,4,1,22,35,0,2,1,1,"Sun, Oct 18",2016
Anaheim,Nashville,0,1,5,28,29,1,5,4,5,"Thu, Oct 22",2016
Anaheim,Minnesota,0,0,3,15,30,0,1,5,5,"Sat, Oct 24",2016
Anaheim,Chicago,0,0,1,39,24,0,3,3,3,"Mon, Oct 26",2016
Anaheim,Dallas,0,3,4,20,34,1,4,2,3,"Tue, Oct 27",2016
Anaheim,St. Louis,0,1,2,23,34,1,4,5,5,"Thu, Oct 29",2016
Anaheim,Nashville,1,4,2,28,42,0,2,5,6,"Sun, Nov 1",2016
Anaheim,Florida,1,3,2,39,25,1,5,3,3,"Wed, Nov 4",2016
Anaheim,Columbus,1,4,2,34,36,1,3,2,2,"Fri, Nov 6",2016
Anaheim,San Jose,0,1,0,17,31,0,2,4,4,"Sat, Nov 7",2016
Anaheim,Arizona,1,3,4,36,28,1,4,4,5,"Mon, Nov 9",2016
Anaheim,Edmonton,1,3,4,37,27,1,2,1,2,"Wed, Nov 11",2016
Anaheim,NY Islanders,1,1,4,25,29,1,3,5,5,"Fri, Nov 13",2016
Anaheim,Carolina,0,4,1,20,25,0,0,3,3,"Mon, Nov 16",2016
Anaheim,Nashville,0,2,3,40,21,0,5,5,6,"Tue, Nov 17",2016
Anaheim,Florida,0,3,1,41,25,1,3,3,3,"Thu, Nov 19",2016
Anaheim,Tampa Bay,0,0,5,30,24,0,1,2,4,"Sat, Nov 21",2016
Anaheim,Calgary,1,5,3,32,25,2,2,2,2,"Tue, Nov 24",2016
Anaheim,Arizona,0,2,4,31,34,2,3,2,3,"Wed, Nov 25",2016
Anaheim,Chicago,1,2,3,25,32,0,3,3,4,"Fri, Nov 27",2016
Anaheim,Vancouver,1,4,0,30,25,1,3,3,3,"Mon, Nov 30",2016
Anaheim,Tampa Bay,1,1,2,33,22,0,4,3,4,"Wed, Dec 2",2016
Anaheim,San Jose,1,1,0,26,23,0,4,4,4,"Fri, Dec 4",2016
Anaheim,Pittsburgh,1,2,1,25,24,0,1,2,2,"Sun, Dec 6",2016
Anaheim,Carolina,1,1,5,32,24,0,1,2,3,"Fri, Dec 11",2016
Anaheim,Buffalo,0,0,3,44,22,0,3,3,3,"Thu, Dec 17",2016
Anaheim,New Jersey,0,2,1,18,22,0,0,2,2,"Sat, Dec 19",2016
Anaheim,NY Islanders,0,2,5,29,31,0,1,3,3,"Mon, Dec 21",2016
Anaheim,NY Rangers,0,2,3,19,22,0,4,4,5,"Tue, Dec 22",2016
Anaheim,Philadelphia,1,4,2,37,26,2,3,4,5,"Sun, Dec 27",2016
Anaheim,Calgary,0,1,0,21,14,0,2,3,3,"Tue, Dec 29",2016
Anaheim,Edmonton,0,1,0,35,21,1,2,3,3,"Thu, Dec 31",2016
Anaheim,Vancouver,0,1,2,28,25,1,2,3,3,"Fri, Jan 1",2016
Anaheim,Winnipeg,1,4,1,35,20,2,2,4,4,"Sun, Jan 3",2016
Anaheim,Toronto,1,0,4,39,38,0,2,6,6,"Wed, Jan 6",2016
Anaheim,St. Louis,1,4,3,39,28,1,5,4,4,"Fri, Jan 8",2016
Anaheim,Detroit,1,1,2,31,24,0,2,3,3,"Sun, Jan 10",2016
Anaheim,Ottawa,1,4,1,38,25,1,3,2,2,"Wed, Jan 13",2016
Anaheim,Dallas,1,4,2,35,24,1,3,3,4,"Fri, Jan 15",2016
Anaheim,Los Angeles,1,2,3,32,26,0,3,1,2,"Sun, Jan 17",2016
Anaheim,Minnesota,1,3,1,27,26,0,1,3,3,"Wed, Jan 20",2016
Anaheim,Detroit,0,4,3,35,27,0,4,4,4,"Sat, Jan 23",2016
Anaheim,Boston,0,6,2,39,34,1,4,4,4,"Tue, Jan 26",2016
Anaheim,San Jose,1,3,2,25,32,0,4,3,3,"Tue, Feb 2",2016
Anaheim,Los Angeles,0,4,2,24,25,1,5,1,2,"Thu, Feb 4",2016
Anaheim,Arizona,1,5,2,41,25,1,7,4,5,"Fri, Feb 5",2016
Anaheim,Pittsburgh,0,2,6,38,35,0,2,1,1,"Mon, Feb 8",2016
Anaheim,Philadelphia,0,4,1,26,29,1,4,6,7,"Tue, Feb 9",2016
Anaheim,Columbus,0,3,4,27,34,0,2,3,4,"Thu, Feb 11",2016
Anaheim,Chicago,0,3,2,44,23,1,3,1,2,"Sat, Feb 13",2016
Anaheim,Calgary,0,6,4,28,37,3,3,3,5,"Mon, Feb 15",2016
Anaheim,Edmonton,0,5,3,31,27,1,4,2,4,"Tue, Feb 16",2016
Anaheim,Vancouver,0,5,2,33,21,1,3,3,4,"Thu, Feb 18",2016
Anaheim,Calgary,1,5,2,33,24,2,5,4,5,"Sun, Feb 21",2016
Anaheim,Buffalo,1,1,0,29,26,1,3,4,4,"Wed, Feb 24",2016
Anaheim,Edmonton,1,2,1,34,18,1,3,3,3,"Fri, Feb 26",2016
Anaheim,Los Angeles,1,4,2,29,29,3,5,3,4,"Sun, Feb 28",2016
Anaheim,Montreal,1,3,2,35,27,1,5,3,3,"Wed, Mar 2",2016
Anaheim,Arizona,0,5,1,21,28,3,7,5,6,"Thu, Mar 3",2016
Anaheim,Los Angeles,0,3,2,22,34,2,2,4,6,"Sat, Mar 5",2016
Anaheim,Washington,1,1,2,28,32,0,3,4,4,"Mon, Mar 7",2016
Anaheim,Colorado,0,0,3,37,26,0,3,2,2,"Wed, Mar 9",2016
Anaheim,St. Louis,0,2,5,28,23,1,3,3,3,"Fri, Mar 11",2016
Anaheim,New Jersey,1,7,1,27,25,1,3,3,3,"Mon, Mar 14",2016
Anaheim,NY Rangers,1,1,2,23,23,0,0,3,3,"Wed, Mar 16",2016
Anaheim,Boston,1,4,0,26,38,0,2,2,2,"Fri, Mar 18",2016
Anaheim,Winnipeg,0,3,2,33,29,1,2,3,3,"Sun, Mar 20",2016
Anaheim,Montreal,0,3,4,35,23,0,2,1,1,"Tue, Mar 22",2016
Anaheim,Toronto,0,5,6,38,26,2,4,2,5,"Thu, Mar 24",2016
Anaheim,Ottawa,0,4,3,39,33,1,3,4,4,"Sat, Mar 26",2016
Anaheim,Edmonton,0,2,1,25,28,0,4,3,3,"Mon, Mar 28",2016
Anaheim,Calgary,1,8,3,27,26,1,3,2,3,"Wed, Mar 30",2016
Anaheim,Vancouver,1,2,3,36,28,0,1,2,2,"Fri, Apr 1",2016
Anaheim,Dallas,1,3,1,24,25,0,2,4,4,"Sun, Apr 3",2016
Anaheim,Winnipeg,1,1,2,28,26,1,4,3,3,"Tue, Apr 5",2016
Anaheim,Los Angeles,0,1,2,20,31,0,3,3,3,"Thu, Apr 7",2016
Anaheim,Colorado,0,5,3,31,32,2,4,6,7,"Sat, Apr 9",2016
Anaheim,Washington,0,2,0,21,24,0,3,3,3,"Sun, Apr 10",2016
Arizona,Los Angeles,0,4,1,22,41,0,3,4,4,"Fri, Oct 9",2016
Arizona,Pittsburgh,1,2,1,39,28,0,4,4,4,"Sat, Oct 10",2016
Arizona,Anaheim,0,4,0,29,37,1,6,3,3,"Wed, Oct 14",2016
Arizona,Minnesota,1,3,4,30,24,0,7,4,5,"Thu, Oct 15",2016
Arizona,Boston,1,3,5,23,43,1,4,3,6,"Sat, Oct 17",2016
Arizona,New Jersey,0,2,3,20,25,1,5,3,3,"Tue, Oct 20",2016
Arizona,NY Rangers,0,1,4,35,27,0,3,2,3,"Thu, Oct 22",2016
Arizona,Ottawa,0,4,1,26,36,0,2,3,3,"Sat, Oct 24",2016
Arizona,Toronto,0,4,3,24,27,2,4,2,2,"Mon, Oct 26",2016
Arizona,Boston,0,0,6,24,27,0,3,3,4,"Tue, Oct 27",2016
Arizona,Vancouver,1,3,4,31,22,0,2,3,4,"Fri, Oct 30",2016
Arizona,Colorado,1,4,2,28,28,0,6,5,5,"Thu, Nov 5",2016
Arizona,NY Rangers,1,1,4,40,30,1,4,3,4,"Sat, Nov 7",2016
Arizona,Anaheim,0,4,3,28,36,1,5,3,4,"Mon, Nov 9",2016
Arizona,Los Angeles,0,3,2,25,35,0,3,1,2,"Tue, Nov 10",2016
Arizona,Edmonton,1,4,1,21,28,1,3,4,4,"Thu, Nov 12",2016
Arizona,Columbus,0,2,5,29,21,0,5,2,4,"Sat, Nov 14",2016
Arizona,NY Islanders,0,2,5,33,32,1,3,3,4,"Mon, Nov 16",2016
Arizona,Montreal,0,3,2,20,33,1,2,5,5,"Thu, Nov 19",2016
Arizona,Winnipeg,0,2,3,29,23,2,6,5,5,"Sat, Nov 21",2016
Arizona,Anaheim,1,4,2,34,31,1,3,1,3,"Wed, Nov 25",2016
Arizona,Calgary,1,2,1,21,26,0,2,5,6,"Fri, Nov 27",2016
Arizona,Ottawa,1,4,3,19,38,0,2,2,3,"Sat, Nov 28",2016
Arizona,Nashville,0,2,5,15,41,1,2,1,2,"Tue, Dec 1",2016
Arizona,Detroit,0,1,5,27,44,0,1,4,4,"Thu, Dec 3",2016
Arizona,Buffalo,0,2,5,20,28,0,3,2,2,"Fri, Dec 4",2016
Arizona,Carolina,0,4,5,23,18,1,4,3,4,"Sun, Dec 6",2016
Arizona,St. Louis,0,1,4,23,22,0,4,3,3,"Tue, Dec 8",2016
Arizona,Minnesota,1,2,1,21,28,1,6,4,4,"Fri, Dec 11",2016
Arizona,Carolina,1,4,5,29,33,0,2,1,3,"Sat, Dec 12",2016
Arizona,Columbus,1,5,7,32,21,1,3,1,1,"Thu, Dec 17",2016
Arizona,NY Islanders,1,1,0,29,25,0,2,3,3,"Sat, Dec 19",2016
Arizona,Toronto,1,3,2,26,39,0,4,1,2,"Tue, Dec 22",2016
Arizona,Los Angeles,1,3,4,27,33,3,6,4,6,"Sat, Dec 26",2016
Arizona,Colorado,0,2,1,28,39,0,3,2,3,"Sun, Dec 27",2016
Arizona,Chicago,1,5,7,37,28,2,8,1,4,"Tue, Dec 29",2016
Arizona,Winnipeg,1,4,2,21,37,2,5,3,3,"Thu, Dec 31",2016
Arizona,Edmonton,0,3,4,34,41,0,3,3,4,"Sat, Jan 2",2016
Arizona,Vancouver,0,3,2,29,37,1,2,1,2,"Mon, Jan 4",2016
Arizona,Calgary,0,2,1,33,26,1,3,2,3,"Thu, Jan 7",2016
Arizona,Nashville,1,4,0,29,26,1,2,3,3,"Sat, Jan 9",2016
Arizona,Edmonton,1,4,3,31,28,3,4,1,3,"Tue, Jan 12",2016
Arizona,Detroit,1,2,3,29,25,1,3,1,3,"Thu, Jan 14",2016
Arizona,New Jersey,1,0,2,38,16,0,5,2,2,"Sat, Jan 16",2016
Arizona,Buffalo,1,1,2,27,28,0,5,1,3,"Mon, Jan 18",2016
Arizona,San Jose,1,1,3,24,23,0,1,1,2,"Thu, Jan 21",2016
Arizona,Los Angeles,1,3,2,24,28,1,4,2,2,"Sat, Jan 23",2016
Arizona,Minnesota,0,2,1,24,35,0,3,2,2,"Mon, Jan 25",2016
Arizona,Winnipeg,0,2,5,34,37,0,5,3,4,"Tue, Jan 26",2016
Arizona,Los Angeles,1,2,6,26,35,0,5,4,7,"Tue, Feb 2",2016
Arizona,Chicago,1,4,5,28,40,2,4,4,4,"Thu, Feb 4",2016
Arizona,Anaheim,0,2,5,25,41,1,5,6,7,"Fri, Feb 5",2016
Arizona,Vancouver,1,1,2,34,26,1,4,4,4,"Wed, Feb 10",2016
Arizona,Calgary,1,4,1,35,27,3,7,5,5,"Fri, Feb 12",2016
Arizona,San Jose,0,1,4,23,28,0,3,4,5,"Sat, Feb 13",2016
Arizona,Montreal,1,6,2,27,19,2,4,1,1,"Mon, Feb 15",2016
Arizona,Dallas,1,6,3,42,39,1,3,3,4,"Thu, Feb 18",2016
Arizona,St. Louis,1,4,6,22,40,0,2,2,3,"Sat, Feb 20",2016
Arizona,Washington,0,2,3,27,34,0,6,3,4,"Mon, Feb 22",2016
Arizona,Tampa Bay,0,1,2,30,36,0,2,2,2,"Tue, Feb 23",2016
Arizona,Florida,0,2,3,24,25,1,3,3,4,"Thu, Feb 25",2016
Arizona,Philadelphia,0,2,4,31,33,0,4,3,4,"Sat, Feb 27",2016
Arizona,Pittsburgh,0,0,6,30,33,0,3,4,5,"Mon, Feb 29",2016
Arizona,Anaheim,1,1,5,28,21,1,6,4,7,"Thu, Mar 3",2016
Arizona,Florida,1,5,1,26,33,1,3,5,5,"Sat, Mar 5",2016
Arizona,Colorado,0,1,3,38,37,0,3,1,2,"Mon, Mar 7",2016
Arizona,Vancouver,0,2,3,34,31,1,1,4,4,"Wed, Mar 9",2016
Arizona,Calgary,0,4,1,26,25,1,4,3,3,"Fri, Mar 11",2016
Arizona,Edmonton,0,4,0,29,44,1,2,3,3,"Sat, Mar 12",2016
Arizona,San Jose,1,3,1,22,28,1,2,2,2,"Thu, Mar 17",2016
Arizona,Tampa Bay,1,0,2,32,36,0,6,4,4,"Sat, Mar 19",2016
Arizona,San Jose,0,0,3,25,36,0,4,3,5,"Sun, Mar 20",2016
Arizona,Edmonton,1,4,2,31,29,1,3,2,4,"Tue, Mar 22",2016
Arizona,Dallas,1,3,1,30,38,0,6,3,3,"Thu, Mar 24",2016
Arizona,Philadelphia,1,2,1,17,35,1,3,4,5,"Sat, Mar 26",2016
Arizona,Calgary,1,2,5,24,21,2,4,1,3,"Mon, Mar 28",2016
Arizona,Dallas,0,1,4,32,33,0,2,2,3,"Thu, Mar 31",2016
Arizona,Washington,1,3,0,27,31,0,1,2,2,"Sat, Apr 2",2016
Arizona,St. Louis,0,2,5,27,26,0,3,4,6,"Mon, Apr 4",2016
Arizona,Chicago,0,2,6,31,32,0,6,3,6,"Tue, Apr 5",2016
Arizona,Nashville,0,2,3,18,31,0,2,4,5,"Thu, Apr 7",2016
Arizona,San Jose,0,0,1,20,32,0,4,5,6,"Sat, Apr 9",2016
Boston,Winnipeg,1,2,6,31,32,0,2,0,0,"Thu, Oct 8",2016
Boston,Montreal,1,2,4,21,38,1,4,5,6,"Sat, Oct 10",2016
Boston,Tampa Bay,1,3,6,30,23,3,4,2,4,"Mon, Oct 12",2016
Boston,Colorado,0,6,2,25,22,0,2,3,4,"Wed, Oct 14",2016
Boston,Arizona,0,5,3,43,23,3,6,3,4,"Sat, Oct 17",2016
Boston,Philadelphia,1,4,5,30,37,1,3,1,2,"Wed, Oct 21",2016
Boston,NY Islanders,0,5,3,26,26,0,3,1,2,"Fri, Oct 23",2016
Boston,Arizona,1,6,0,27,24,1,4,3,3,"Tue, Oct 27",2016
Boston,Florida,0,3,1,30,32,2,3,5,6,"Fri, Oct 30",2016
Boston,Tampa Bay,0,3,1,34,22,1,3,4,5,"Sat, Oct 31",2016
Boston,Dallas,1,3,5,39,19,1,4,1,4,"Tue, Nov 3",2016
Boston,Washington,0,1,4,29,31,1,2,3,4,"Thu, Nov 5",2016
Boston,Montreal,0,2,4,31,33,1,5,1,3,"Sat, Nov 7",2016
Boston,NY Islanders,0,2,1,27,37,1,3,6,7,"Sun, Nov 8",2016
Boston,Colorado,1,2,3,27,30,1,2,3,3,"Thu, Nov 12",2016
Boston,Detroit,1,3,1,31,23,0,1,2,3,"Sat, Nov 14",2016
Boston,San Jose,1,4,5,29,28,2,3,3,5,"Tue, Nov 17",2016
Boston,Minnesota,1,4,2,38,26,1,4,3,3,"Thu, Nov 19",2016
Boston,Toronto,1,2,0,37,22,0,1,1,1,"Sat, Nov 21",2016
Boston,Toronto,0,4,3,29,42,0,3,6,6,"Mon, Nov 23",2016
Boston,Detroit,0,3,2,22,34,0,3,3,3,"Wed, Nov 25",2016
Boston,NY Rangers,1,4,3,34,27,2,3,2,3,"Fri, Nov 27",2016
Boston,Edmonton,0,2,3,40,36,0,2,5,5,"Wed, Dec 2",2016
Boston,Calgary,0,4,5,38,37,0,1,4,4,"Fri, Dec 4",2016
Boston,Vancouver,0,4,0,22,17,0,1,3,3,"Sat, Dec 5",2016
Boston,Nashville,1,2,3,17,33,1,3,5,7,"Mon, Dec 7",2016
Boston,Montreal,0,3,1,23,33,0,2,3,3,"Wed, Dec 9",2016
Boston,Florida,1,3,1,25,27,1,1,1,1,"Sat, Dec 12",2016
Boston,Edmonton,1,2,3,49,24,0,3,3,3,"Mon, Dec 14",2016
Boston,Pittsburgh,1,3,0,29,34,1,4,3,3,"Wed, Dec 16",2016
Boston,Pittsburgh,0,6,2,34,32,1,4,5,5,"Fri, Dec 18",2016
Boston,New Jersey,1,2,1,39,30,0,1,2,2,"Sun, Dec 20",2016
Boston,St. Louis,1,0,2,32,29,0,0,1,1,"Tue, Dec 22",2016
Boston,Buffalo,1,3,6,33,29,0,3,3,3,"Sat, Dec 26",2016
Boston,Ottawa,0,1,3,39,22,0,2,1,2,"Sun, Dec 27",2016
Boston,Ottawa,1,7,3,37,32,4,7,4,4,"Tue, Dec 29",2016
Boston,Montreal,1,1,5,28,30,0,3,4,4,"Fri, Jan 1",2016
Boston,Washington,1,2,3,27,29,1,4,2,3,"Tue, Jan 5",2016
Boston,New Jersey,0,4,1,31,20,1,3,2,2,"Fri, Jan 8",2016
Boston,Ottawa,0,1,2,34,40,0,1,2,2,"Sat, Jan 9",2016
Boston,NY Rangers,0,1,2,33,30,0,1,0,0,"Mon, Jan 11",2016
Boston,Philadelphia,0,2,3,32,21,1,2,3,3,"Wed, Jan 13",2016
Boston,Buffalo,0,4,1,31,34,0,2,4,4,"Fri, Jan 15",2016
Boston,Toronto,1,3,2,45,29,0,1,5,5,"Sat, Jan 16",2016
Boston,Montreal,0,4,1,24,39,0,3,5,5,"Tue, Jan 19",2016
Boston,Vancouver,1,2,4,30,27,0,0,0,0,"Thu, Jan 21",2016
Boston,Columbus,1,3,2,34,33,0,5,4,4,"Sat, Jan 23",2016
Boston,Philadelphia,0,3,2,31,36,2,4,3,4,"Mon, Jan 25",2016
Boston,Anaheim,1,2,6,34,39,0,4,3,4,"Tue, Jan 26",2016
Boston,Toronto,1,3,4,42,35,0,4,2,3,"Tue, Feb 2",2016
Boston,Buffalo,0,3,2,33,28,0,4,3,3,"Thu, Feb 4",2016
Boston,Buffalo,1,2,1,38,38,0,2,3,3,"Sat, Feb 6",2016
Boston,Los Angeles,1,2,9,37,57,1,3,0,3,"Tue, Feb 9",2016
Boston,Winnipeg,0,6,2,39,36,0,3,4,5,"Thu, Feb 11",2016
Boston,Minnesota,0,4,2,19,33,0,6,5,5,"Sat, Feb 13",2016
Boston,Detroit,0,5,6,22,35,0,2,3,5,"Sun, Feb 14",2016
Boston,Columbus,0,2,1,30,29,0,4,3,3,"Tue, Feb 16",2016
Boston,Nashville,0,0,2,29,24,0,4,2,2,"Thu, Feb 18",2016
Boston,Dallas,0,7,3,42,29,3,6,1,1,"Sat, Feb 20",2016
Boston,Columbus,1,4,6,30,35,0,2,1,3,"Mon, Feb 22",2016
Boston,Pittsburgh,1,5,1,29,42,0,0,1,1,"Wed, Feb 24",2016
Boston,Carolina,0,4,1,22,40,0,1,2,3,"Fri, Feb 26",2016
Boston,Tampa Bay,1,1,4,33,30,0,6,1,3,"Sun, Feb 28",2016
Boston,Calgary,1,2,1,25,25,1,5,4,4,"Tue, Mar 1",2016
Boston,Chicago,1,4,2,25,27,1,2,1,2,"Thu, Mar 3",2016
Boston,Washington,1,1,2,34,30,0,5,3,3,"Sat, Mar 5",2016
Boston,Florida,0,5,4,32,51,0,2,3,4,"Mon, Mar 7",2016
Boston,Tampa Bay,0,1,0,33,42,0,0,4,4,"Tue, Mar 8",2016
Boston,Carolina,1,2,3,32,28,1,2,2,3,"Thu, Mar 10",2016
Boston,NY Islanders,1,3,1,31,26,1,1,0,0,"Sat, Mar 12",2016
Boston,San Jose,0,2,3,23,27,0,1,3,4,"Tue, Mar 15",2016
Boston,Anaheim,0,0,4,38,26,0,2,2,2,"Fri, Mar 18",2016
Boston,Los Angeles,0,1,2,28,20,0,4,2,2,"Sat, Mar 19",2016
Boston,NY Rangers,0,2,5,41,24,0,2,4,6,"Wed, Mar 23",2016
Boston,Florida,1,1,4,35,36,0,4,4,4,"Thu, Mar 24",2016
Boston,Toronto,0,3,1,33,26,2,4,2,2,"Sat, Mar 26",2016
Boston,New Jersey,0,1,2,40,15,0,2,3,5,"Tue, Mar 29",2016
Boston,St. Louis,0,6,5,28,30,2,4,5,5,"Fri, Apr 1",2016
Boston,Chicago,0,4,6,46,34,0,1,1,3,"Sun, Apr 3",2016
Boston,Carolina,1,1,2,36,28,0,3,3,3,"Tue, Apr 5",2016
Boston,Detroit,1,5,2,34,15,1,4,4,4,"Thu, Apr 7",2016
Boston,Ottawa,1,1,6,40,36,0,4,0,0,"Sat, Apr 9",2016
Buffalo,Ottawa,1,1,3,27,22,1,3,0,0,"Thu, Oct 8",2016
Buffalo,Tampa Bay,1,1,4,25,31,0,2,3,3,"Sat, Oct 10",2016
Buffalo,Columbus,1,4,2,33,24,3,7,1,3,"Mon, Oct 12",2016
Buffalo,Florida,0,2,3,26,29,1,6,3,5,"Thu, Oct 15",2016
Buffalo,Tampa Bay,0,1,2,32,22,0,3,3,4,"Sat, Oct 17",2016
Buffalo,Toronto,1,2,1,35,24,0,4,1,1,"Wed, Oct 21",2016
Buffalo,Montreal,1,2,7,36,26,1,4,1,3,"Fri, Oct 23",2016
Buffalo,New Jersey,1,3,4,29,28,2,5,2,2,"Sat, Oct 24",2016
Buffalo,Philadelphia,0,4,3,40,33,1,2,2,2,"Tue, Oct 27",2016
Buffalo,Pittsburgh,0,3,4,53,29,0,2,0,1,"Thu, Oct 29",2016
Buffalo,Philadelphia,1,3,1,36,28,1,6,4,4,"Fri, Oct 30",2016
Buffalo,NY Islanders,0,2,1,22,30,0,0,0,0,"Sun, Nov 1",2016
Buffalo,Tampa Bay,1,1,4,31,22,0,2,3,3,"Thu, Nov 5",2016
Buffalo,Vancouver,1,3,2,22,37,1,2,2,2,"Sat, Nov 7",2016
Buffalo,Tampa Bay,0,4,1,27,31,1,3,4,5,"Tue, Nov 10",2016
Buffalo,Florida,0,3,2,19,38,1,1,2,3,"Thu, Nov 12",2016
Buffalo,San Jose,1,1,2,31,32,0,3,2,3,"Sat, Nov 14",2016
Buffalo,Dallas,1,1,3,25,29,1,3,1,1,"Tue, Nov 17",2016
Buffalo,St. Louis,0,2,3,34,29,0,4,1,3,"Thu, Nov 19",2016
Buffalo,Dallas,0,0,3,22,32,0,3,4,5,"Sat, Nov 21",2016
Buffalo,St. Louis,1,1,2,25,26,0,3,0,0,"Mon, Nov 23",2016
Buffalo,Nashville,1,2,3,32,20,0,2,3,3,"Wed, Nov 25",2016
Buffalo,Carolina,1,4,1,21,28,0,1,2,2,"Fri, Nov 27",2016
Buffalo,Nashville,0,4,1,24,29,2,4,2,3,"Sat, Nov 28",2016
Buffalo,Detroit,0,4,5,32,46,2,5,1,2,"Tue, Dec 1",2016
Buffalo,Arizona,1,5,2,28,20,0,2,3,3,"Fri, Dec 4",2016
Buffalo,Edmonton,0,2,4,34,28,1,4,0,1,"Sun, Dec 6",2016
Buffalo,Vancouver,0,2,5,34,31,0,3,5,6,"Mon, Dec 7",2016
Buffalo,Calgary,0,3,4,30,32,2,3,2,2,"Thu, Dec 10",2016
